Year,CITATION,SampleNo,UNIQUE_ID,SiO2,Al2O3,Fe2O3.T.,MgO,Na2O,CaO,K2O,TiO2,MnO,LOCATION,ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),LAND/SEA (SAMPLING),ROCK TYPE,Type,ROCK TEXTURE,SAMPLE COMMENT
1990, [4449] BACON C. R. (1990),samp. 354,,54,16.9,7.732247592,7.28,3.7,8.6,1.23,1.04,0.11,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 80C-355,,53.98699939,16.39605167,7.805935068,8.152117888,3.679114033,8.008071576,1.149723135,0.949771286,0.109973517,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
1990, [4449] BACON C. R. (1990),samp. 854,15458-854,53.8,17.6,8.807961835,6.04,3.97,8.03,0.78,1.1,0.14,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
1997, [4450] BACON C. R. (1997),samp. 88C1521,15418-88C1521,53.8,16.3,8.234600498,8.27,3.55,8.37,0.882,0.96,0.12,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 80C-354,,53.74571505,16.82041823,7.695836588,7.245718621,3.682576772,8.562614047,1.224207954,1.03510266,0.109482012,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,BOMB
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 81C-606,,53.39466053,22.29777022,4.968011405,3.759624038,3.499650035,10.4989501,0.869913009,0.819918008,0.049995,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,"IGNIMBRITE, HIGH-SR SCORIA"
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 80C-442,,53.11775622,20.74599158,6.175707425,6.013330893,3.156998719,9.709481852,0.601333089,0.721599707,0.09055476,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,LOW-SR SCORIA
1990, [4449] BACON C. R. (1990),samp. 1181,,53,17.1,8.226764379,6.45,3.54,9.69,1.01,1.12,0.12,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
1997, [4450] BACON C. R. (1997),samp. 80C354,15419-80C354,53,16.7,7.662037565,7.21,3.7,8.52,1.216,1.03,0.11,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
1990, [4449] BACON C. R. (1990),samp. 845,15452-845,52.9,17.7,8.302331603,6.43,3.5,9.61,0.76,1.1,0.13,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 82C-814,,52.81389628,17.06912998,7.699037925,6.978261961,3.634720619,9.739444751,1.019127466,1.124554446,0.120487976,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,BOMB
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 82C-866,,52.70782079,9.749937696,10.66981806,15.30227055,2.250333905,8.612948989,0.555082363,0.630093493,0.160023744,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,NOT GIVEN,,IGNIMBRITE OLIVINE CUMULATE SCORIA
1990, [4449] BACON C. R. (1990),samp. 1193,,52.7,17,8.270104713,6.86,3.69,9.52,0.97,1.19,0.12,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
1994, [3645] NAKADA S. (1994),samp. 1634,,52.6,17.8,7.85,4.06,4.46,8.01,1.32,1.3,0.11,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,ENCLAVE IN RHYODACITE
1990, [4449] BACON C. R. (1990),samp. 814,15451-814,52.6,17,7.667856821,6.95,3.62,9.7,1.02,1.12,0.12,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 85C-1241,,52.56033678,17.05468233,8.407587138,6.801925936,3.680220924,9.464850019,0.964437299,1.206793311,0.12965548,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
