"SiO2","Al2O3","Fe2O3","MgO","Na2O","CaO","K2O"
45.31,13.29,17.53,4.64,3.52,8.12,1.64
59.61,17.91,6.28,3.31,3.97,6.09,1.6
59.32,17.9,6.23,3.28,4.06,6.37,1.6
45.42,13.82,17.65,4.44,2.86,7.8,1.58
46.87,12.44,17.16,3.99,2.95,8.72,1.7
46.96,13.85,17.31,3.86,3.41,7.17,1.82
58.03,17.97,6.19,4.43,3.42,7.29,1.56
57.9,17.79,6.22,4.59,3.43,7.42,1.54
58.47,17.85,6.35,3.59,4.13,6.74,1.54
51.76,13.68,9.44,4.18,3.36,9.2,1.99
58.9,16.86,6.63,3.79,3.96,7.05,1.52
48.84,13.08,16.81,3.28,3.41,7.43,2.14
58.85,16.83,6.84,3.78,3.98,6.89,1.55
61.93,16.72,5.72,2.53,4.39,5.15,2.32
47.51,14.06,16.8,3.8,3.43,6.96,1.99
57.64,18.71,6.25,3.72,3.91,7.47,1.08
45.49,13.98,17.63,4.27,3.51,7.35,1.84
57,19.24,7.1,2.49,3.93,7.68,1.3
57.63,17.02,6.79,5.15,3.55,7.35,1.32
57.43,17.12,6.66,5.32,3.55,7.48,1.25
45.39,13.77,17.77,4.09,4.01,7.46,1.91
57.87,17.13,6.29,5.29,3.52,7.38,1.33
46.6,13.07,17.39,3.87,3.26,8.19,1.88
62.27,17.2,5.82,1.72,5.49,4.26,1.72
57.29,17.77,6.61,4.81,3.75,7.39,1.17
45.68,13.16,17.36,4.13,3.32,8.61,1.79
53.64,18.69,8.28,4.25,3.68,8.94,1.04
49.15,14.35,16,3.11,4.45,6.4,2.33
52.55,19.84,7.19,4.82,3.43,9.81,0.92
46.17,13.79,17.57,3.96,3.83,7.32,1.97
64.4,16.65,5.07,1.99,4.25,4.07,2.54
60.53,17.42,5.7,3.43,4.21,6.12,1.57
46.41,13.84,17.81,3.88,3.29,7.27,1.79
45.57,13.72,12,10.52,2.9,11.12,1.1
46.59,13.28,17.25,3.86,3.42,8.13,1.91
47.17,17.73,12.76,5.41,4.01,8.21,1.1
64.63,16.48,4.72,1.88,4.44,4.24,2.62
52.04,17.62,9.94,4.7,4,7.91,1.5
57.88,14.84,7.85,4.75,3.76,7.02,2.28
59.19,17.75,6.41,3.22,4.08,6.47,1.58
48.77,14.34,16.73,3.18,3.79,6.36,2.25
55.74,16.18,7.22,7.08,3.4,7.97,1.18
48.6,13.63,17.29,3.26,3.26,6.82,1.98
62.51,17.34,5.79,1.82,4.73,4.85,1.64
67.86,15.64,4.36,0.8,5.71,2.21,2.81
58.29,18.99,6.04,2.79,3.87,7.69,1.16
42.83,13.98,18.3,5.13,3.42,8,1.58
62.62,17.18,5.69,1.91,4.59,4.91,1.78
43.22,13.9,18.19,5.15,3.33,8.15,1.44
46.89,16.32,10.77,7.52,4.35,8.9,1.98
60.61,17.01,6.09,3.03,4.24,5.62,2.11
43.5,13.8,18.11,5.14,3.31,8.02,1.51
43.22,13.79,18.14,5.19,3.37,8.31,1.47
43.34,13.76,18.13,5.18,3.39,8.12,1.48
43.27,13.95,18.22,5.08,3.36,8.06,1.46
44.01,13.85,17.94,5.14,3.32,8.03,1.5
43.91,13.76,17.77,4.59,3.2,8.93,1.61
