Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,Lat,Long,State,Georef ,Navdat Sample Number ,Authors,,,,,,,,,
C1810,64.34,16.81,4.36,2.65,3.87,5.19,2.03,40.4647,-121.5047,California,1985-002335,10481,"Clynne, Michael A.",,,,,,,,,
PWD-632,46.88,14.58,14.77,7.39,2.38,9.97,0.6,43.53,-112.9,Idaho,2005-006849,56840,Scarberry-Kaleb-C,,,,,,,,,
SSV78-1,48.77,14.8,14.26,4.17,3.13,8.01,2.09,42.818,-111.5861,Idaho,1985-023737,10651,"Fiesinger, Donald W; Perkins, William D; Puchy, Barbara J",,,,,,,,,
SSV78-8,52.79,14.71,11.73,5.1,3.01,7.86,1.93,42.8285,-111.5856,Idaho,1985-023737,10663,"Fiesinger, Donald W; Perkins, William D; Puchy, Barbara J",,,,,,,,,
Z-107,56.85,10.77,4.8,6.61,1.17,5.23,11.09,41.7939,-108.9218,Wyoming,1980-042937,6422,"Ogden, P R, Jr",,,,,,,,,
WAL-1,47.07,16.22,13.53,5.2,4.21,8.3,1.55,35.9281,-117.7933,California,1999-027978,38830,Groves-Kristelle-Renee,,,,,,,,,
BOC171,54.5,16.38,8.02,4.56,3.61,7.56,2.92,39.366478,-120.08455,California,1985-900103,11305,"Latham, Jr., Thomas",,,,,,,,,
118-478,46.29,14.58,15.43,7.4,2.47,9.46,0.79,43.5,-113.04,Idaho,2005-006849,56803,Scarberry-Kaleb-C,,,,,,,,,
503,72.05,14.77,2.35,0.54,5.34,1.69,2.74,42.97222,-122.13222,Oregon,1989-002113,16191,Bacon-C-R, Druitt-T-H,,,,,,,,
160,70.22,15.28,2.8,0.83,5.4,2.3,2.57,42.97611,-122.07694,Oregon,1989-002113,16195,Bacon-C-R, Druitt-T-H,,,,,,,,
C9-2-37LN,49.49,17.89,10.72,5.41,3.41,8.45,1.84,36.796665,-116.58049,Nevada,1995-010051,33910,"Bradshaw, T K; Smith, Eugene I",,,,,,,,,
L82-113,47.35,14.16,9.43,12.04,2.94,10.79,1.27,37.064,-118.2594,California,1989-079451,18326,Ormerod-David-Stephen,,,,,,,,,
MB-88,60.86,17.41,5.8,2.97,4.13,5.74,1.88,48.821,-121.737,washington,2003-046396,75279,"Hildreth, Wes; Fierstein, Judy; Lanphere, Marvin",,,,,,,,,
s_1044,63.19,16.94,4.94,2.78,4.39,5.29,1.63,42.85,-122.116,OREGON,1986-063860,12463,Bacon-Charles-R,,,,,,,,,
21,53.2,16.89,9.16,6.44,3.74,7.69,0.96,45.5386,-121.4949,Washington,1987-022735,12791,"Hammond, Paul E; Korosec, Michael A",,,,,,,,,
M24-1,76.6,12.92,1.21,0.04,3.52,0.72,4.87,38,-119,California,1990-066032,19836,"Kelleher, Patrick C; Cameron, Kenneth L",,,,,,,,,
86,47.87,17.78,11.22,8.28,2.68,10.43,0.25,45.4815,-121.4165,Washington,1987-022735,12856,"Hammond, Paul E; Korosec, Michael A",,,,,,,,,
KO-IP,47.63,15.78,12.18,7.69,2.92,9.7,1.41,43.371944,-116.39361,Idaho,1995-044483,35069,"Othberg, Kurt L; Bonnichsen, Bill; Swisher, Carl C, III; Godchaux,Martha M",,,,,,,,,
s_MSH320-1,67.61,16.71,3.99,1.14,4.57,3.73,1.61,46.2,-122.18,Washington,1995-049554,35120,Gardner-J-E, Carey-S, Rutherford-M-J, Sigurdsson-H,,,,,,
s_MSH309-3,62.7,18.68,5.52,1.93,4.14,4.98,1.19,46.2,-122.18,Washington,1995-049554,35135,Gardner-J-E, Carey-S, Rutherford-M-J, Sigurdsson-H,,,,,,
74IP-72,49.04,15.05,12.96,8.16,2.28,9.53,0.54,44.021,-111.4259,Idaho,2002-003952,61909,"Christiansen, Robert L",,,,,,,,,
129-058,46.15,14.61,15.57,7.1,2.54,9.37,0.64,43.51,-113.01,Idaho,2007-900002,56971,Chadwick-Claire-Grimm,,,,,,,,,
128-684,46.84,15.48,13.39,8.77,2.25,10.19,0.44,43.55,-112.95,Idaho,2007-900002,56965,Chadwick-Claire-Grimm,,,,,,,,,
8YC-411,77.17,12.63,1.65,0.04,2.5,0.45,5.4,44.9397,-110.6685,Wyoming,2002-003952,61964,"Christiansen, Robert L",,,,,,,,,
