Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,Lat,Long,State,Georef ,Navdat Sample Number ,Authors,,,,,,,,,
Z-603,61.23,16.72,7.18,1.77,4.2,4.67,2.72,19.7784,-100.5316,Michoacan,2007-900087,60600,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-523,53.56,15.35,7.83,7.82,3.79,7.99,2.22,19.0553,-100.0507,Mexico,2007-900087,60601,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-121,55.95,15.04,7.46,6.06,3.79,7.14,2.91,19.4248,-100.4328,Mexico,2007-900087,60602,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-105,55.81,15.47,7.19,5.86,3.54,7.48,3.13,19.4253,-100.4625,Michoacan,2007-900087,60603,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-351,52.53,14.52,7.84,9.48,4.03,8.77,1.41,19.0292,-100.1445,Mexico,2007-900087,60604,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-374,54.39,15.07,7.9,9.01,3.51,7.62,1.25,19.1167,-100.2622,Mexico,2007-900087,60605,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-520,52.72,15.8,8.53,8.79,3.6,8.1,1.25,18.8547,-100.1293,Mexico,2007-900087,60606,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-358,53.96,16.97,7.71,7.31,3.83,7.74,1.41,19.0315,-100.1558,Mexico,2007-900087,60607,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-356,61.56,15.61,5.75,5.11,3.77,5.58,1.73,19.1783,-100.2333,Mexico,2007-900087,60608,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-346,63.67,16.04,4.35,3.61,4.31,5.51,1.7,19.17,-100.3,Mexico,2007-900087,60609,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-354,63.5,16.91,4.5,2.84,3.85,5.37,2.03,19.0783,-100.255,Mexico,2007-900087,60610,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-390,64.45,15.39,4.11,3.8,4.5,5.1,1.8,19.1808,-100.2483,Mexico,2007-900087,60611,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-269,54.42,16.27,8.54,5.99,4.19,7.49,1.4,19.555,-100.4567,Michoacan,2007-900087,60612,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-177,53.32,16.35,8.8,5.79,4.06,8.53,1.32,19.48,-100.4967,Michoacan,2007-900087,60614,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-371,54.14,16.53,8.53,5.44,3.6,8.36,1.51,19.5735,-100.315,Mexico,2007-900087,60615,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-227,55.83,17.5,7.86,3.84,3.84,7.69,1.62,19.55,-100.4717,Michoacan,2007-900087,60616,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-228,55.11,18.09,8.84,3.72,4.26,6.93,1.37,19.7187,-100.5233,Michoacan,2007-900087,60617,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
MAS-913,51.03,17.94,9.62,5.75,4.14,8.23,1.16,19.7167,-100.465,Michoacan,2007-900087,60633,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-133,64.7,17.31,4.61,2.23,3.85,4.45,1.92,19.3792,-100.3278,Mexico,2007-900087,60621,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-309,54.78,16.41,8.38,5.6,3.97,7.3,1.56,19.2449,-100.4363,Mexico,2007-900087,60622,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-353,52.94,16.07,7.74,6.72,3.54,8.89,2.34,19.0608,-100.2625,Mexico,2007-900087,60623,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-388,62.65,16.15,4.79,5.76,3.17,5.09,1.49,19.1833,-100.255,Mexico,2007-900087,60624,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-342,62.72,15.63,4.97,5.64,3.07,5.35,1.68,19.2633,-100.0338,Mexico,2007-900087,60625,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-348,62.61,15.4,5.17,4.52,4.03,5.52,1.88,19.1917,-100.1917,Mexico,2007-900087,60626,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-509,59.91,16.26,5.92,4.18,3.63,6.86,1.92,19.0411,-100.1072,Mexico,2007-900087,60627,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
ICP121-341,46.37,14.9,13.38,9.3,2.29,10.55,0.44,43.5786,-112.9357,Idaho,1997-037544,56231,"Reed, M F; Bartholomay, R C; Hughes, S S",,,,,,,,,
Z-385,64.28,16.21,4.25,3.71,3.72,5.09,1.93,19.1783,-100.2057,Mexico,2007-900087,60628,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-386,64.01,15.96,4.54,3.65,4.13,5.14,1.8,19.1667,-100.2167,Mexico,2007-900087,60629,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-357,64.78,15.69,4.05,3.54,3.92,5.26,1.94,19.1813,-100.2207,Mexico,2007-900087,60630,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
MAS-910,66.13,16.05,3.97,1.92,4.69,4.15,2.22,19.45,-100.2295,Mexico,2007-900087,60631,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
MAS-907,64.2,18.23,4.13,1.98,4.21,4.44,1.92,19.4296,-100.4295,Mexico,2007-900087,60632,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-736,50.41,15.75,10.22,7.78,3.43,8.99,1.28,19.9331,-100.1673,Mexico,2007-900087,60634,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-619,53.78,16.71,8.68,6.38,3.65,8.04,1.18,19.85,-100.5,Michoacan,2007-900087,60635,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-735,51.89,16.08,9.53,6.28,3.48,8.88,1.72,19.9037,-100.1863,Mexico,2007-900087,60636,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-734,55.38,16.83,7.95,5.47,3.7,7.52,1.54,19.9132,-100.1294,Mexico,2007-900087,60637,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-729,55.38,16.38,8.27,5,3.8,7.49,1.83,19.8693,-100.1141,Mexico,2007-900087,60638,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-732,55.32,16.45,8.28,4.99,3.73,7.51,1.87,19.8829,-100.1318,Mexico,2007-900087,60639,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-733,56.2,16.33,8,4.79,3.81,7.15,1.95,19.8921,-100.1058,Mexico,2007-900087,60640,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-707,59.59,15.81,6.63,4.51,3.97,5.44,2.54,18.8479,-99.4603,Mexico,2007-900087,60641,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-728,55.31,16.39,9.41,4.36,3.86,6.59,1.85,19.8154,-100.3287,Mexico,2007-900087,60642,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-620,57.56,17.07,7.27,4.05,4.07,6.28,2.26,19.8487,-100.4732,Michoacan,2007-900087,60643,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-705,58.89,15.66,7.72,3.98,4.31,5.54,2.06,18.8599,-99.4448,Mexico,2007-900087,60644,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-621,55.5,18.78,7.4,3.86,3.89,7.72,1.25,19.8978,-100.4748,Michoacan,2007-900087,60645,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-739,59.2,16.17,7.56,3.68,3.65,5.76,2.37,19.909,-100.5294,Michoacan,2007-900087,60646,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-721,51.32,17.38,10.61,3.71,4.05,9.43,1.33,19.644,-100.4943,Michoacan,2007-900087,60647,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-616,56.94,17.81,7.79,3.55,3.97,6.78,1.62,19.8159,-100.5703,Michoacan,2007-900087,60648,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-600,56.91,17.68,7.87,3.54,4,6.79,1.64,19.7689,-100.4808,Michoacan,2007-900087,60649,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-618,57.05,17.86,7.78,3.51,3.85,6.75,1.66,19.8508,-100.495,Michoacan,2007-900087,60650,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-731,60.42,15.92,5.53,5.73,3.65,5.81,1.95,19.854,-100.0575,Mexico,2007-900087,60671,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-601,56.3,17.11,8.96,3.44,4.36,6.68,1.45,19.7614,-100.5011,Michoacan,2007-900087,60651,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-608,56.98,17.94,7.91,3.4,4.04,6.65,1.5,19.79,-100.54,Michoacan,2007-900087,60652,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-602,56.25,17.35,9.02,3.38,4.14,6.65,1.52,19.766,-100.5017,Michoacan,2007-900087,60653,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-604,56.26,17.22,9.09,3.25,4.29,6.66,1.51,19.7715,-100.5366,Michoacan,2007-900087,60654,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-611,57.8,17.22,7.83,3.16,4.33,6.45,1.44,20.0301,-100.5328,Michoacan,2007-900087,60655,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-716,52.41,14.14,8.47,9.29,4.04,7.27,2.37,18.924,-99.9463,Mexico,2007-900087,60657,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-710,51.25,16.09,8.49,8.95,3.37,8.72,1.86,19.0709,-100.0685,Mexico,2007-900087,60658,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-714,52.32,15.82,8.24,8.65,3.51,8.2,1.9,18.8526,-100.0918,Mexico,2007-900087,60659,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-718,52.46,15.76,8.53,7.98,4.21,7.51,1.86,18.9266,-99.9394,Mexico,2007-900087,60660,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-713,51.64,15.54,9.88,9.03,2.71,8.84,1.03,18.9793,-100.0631,Mexico,2007-900087,60661,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-717,54.73,15.93,7.64,7.57,4.03,7.05,1.76,18.919,-99.9502,Mexico,2007-900087,60662,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-700,56.53,16.17,7.52,6.5,3.89,6.58,1.58,18.7606,-99.4709,Mexico,2007-900087,60663,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-715,56.71,15.72,7.2,6.33,3.9,6.88,1.96,18.8614,-100.0306,Mexico,2007-900087,60664,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-709,55.93,16.51,8.27,6.23,3.26,7.4,1.21,18.9152,-99.8375,Mexico,2007-900087,60665,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-720,56.16,16.32,7.31,5.8,4.18,7.04,1.93,18.955,-99.936,Mexico,2007-900087,60666,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-724,57.32,15.66,7.07,7.29,3.27,6.9,1.39,19.7755,-100.3023,Mexico,2007-900087,60667,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-703,58.32,15.54,6.68,7.06,3.81,6.17,1.28,18.8937,-99.6476,Mexico,2007-900087,60668,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-727,57.49,15.94,7.25,6.45,3.38,6.95,1.43,19.7908,-100.2985,Mexico,2007-900087,60669,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-711,57.54,16.58,7.04,5.94,4.06,6.21,1.43,19.0212,-100.0152,Mexico,2007-900087,60670,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-706,59.79,15.52,6.52,5.43,4.08,5.92,1.64,18.8493,-99.4603,Mexico,2007-900087,60672,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-726,57.49,16.74,7.23,4.92,3.86,6.98,1.49,19.7868,-100.2951,Mexico,2007-900087,60673,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-719,60.12,17.67,6.34,3.3,4.43,5.96,1.17,18.9199,-99.9234,Mexico,2007-900087,60675,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-740,60.34,17.37,6.51,2.84,4.07,5.84,1.91,19.8839,-101.4451,Mexico,2007-900087,60676,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-730,71.67,14.86,2.45,0.68,3.85,2.15,3.88,19.874,-100.0153,Mexico,2007-900087,60677,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-737,71.21,14.73,3,0.45,4.38,2.01,3.8,19.9531,-100.1819,Mexico,2007-900087,60678,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
Z-738,71.04,14.7,3.04,0.43,3.74,2.04,4.57,20.0195,-100.2468,Mexico,2007-900087,60679,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
H94-7-16,47.89,15.83,11.39,8.39,3.75,8.93,1.29,37.156,-113.333,Utah,1999-062882,58028,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-7-13,48.45,15.82,11.23,7.81,3.36,9.61,1.25,37.129,-113.347,Utah,1999-062882,58025,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-7-12,49.03,15.82,11.2,7.74,3.32,9.19,1.26,37.123,-113.351,Utah,1999-062882,58024,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-7-1,48.72,15.91,11.2,7.9,3.4,9.19,1.25,37.073,-113.321,Utah,1999-062882,58021,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-7-10,48.39,15.9,11.11,7.87,3.45,9.6,1.21,37.087,-113.33,Utah,1999-062882,58022,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-6-8,43.34,10.81,14.79,13.07,2.41,10.81,1.34,37.072,-113.276,Utah,1999-062882,58019,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-6-3,44.03,11.56,14.28,11.94,2.63,10.86,1.36,37.072,-113.303,Utah,1999-062882,58014,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-6-14,43.9,10.85,14.58,12.3,2.77,10.75,1.4,37.059,-113.275,Utah,1999-062882,58011,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-6-13,43.47,10.92,14.02,13.21,2.97,10.52,1.51,37.087,-113.279,Utah,1999-062882,58010,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-6-10,43.5,11.51,14.44,12.03,2.8,11.02,1.35,37.052,-113.268,Utah,1999-062882,58007,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-6-1,43.67,11.54,14.37,11.76,2.85,11.04,1.4,37.066,-113.274,Utah,1999-062882,58006,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-5-7,44.7,12.5,14.23,10.16,3.32,10.36,1.57,37.185,-113.322,Utah,1999-062882,58003,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-1-4,44.8,12.89,13.87,9.51,2.72,11.38,1.55,37.187,-113.295,Utah,1999-062882,57996,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-5-8,45.34,12.75,14.06,10.49,2.86,10.12,1.29,37.174,-113.352,Utah,1999-062882,58004,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-5-5,48.15,14.69,12.88,8.49,2.95,9.39,1.15,37.188,-113.318,Utah,1999-062882,58001,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-5-3,43.71,11.5,14.45,11.93,2.55,11.1,1.34,37.071,-113.292,Utah,1999-062882,58000,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-1-5,48.19,16.13,11.36,7.55,3.11,9.82,1.22,37.062,-113.308,Utah,1999-062882,57997,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-1-3,48.6,15.44,12.51,7.07,2.68,9.76,1.3,37.184,-113.319,Utah,1999-062882,57995,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-1-1,48.92,15.36,12.69,7.23,2.89,9,1.34,37.164,-113.385,Utah,1999-062882,57993,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
H94-1-2,45.02,12.65,14.17,10.06,2.79,10.2,1.63,37.172,-113.385,Utah,1999-062882,57994,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
WO2-1286,46.74,14.49,14.14,8.91,2.37,9.88,0.63,43.5732,-112.9138,Idaho,1994-000002,56058,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1290,46.7,14.58,14.45,8.36,2.4,10.03,0.55,43.5732,-112.9138,Idaho,1994-000002,56059,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-655,46.69,14.97,13.79,8.65,2.36,10.42,0.44,43.5732,-112.9138,Idaho,1994-000002,56042,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
MB-609,59.6,16.84,6.07,2.67,4.68,5.66,2.95,48.823,-121.734,washington,2003-046396,75296,"Hildreth, Wes; Fierstein, Judy; Lanphere, Marvin",,,,,,,,,
WO2-944,46.92,14.26,15.74,6.41,2.52,9.43,0.66,43.5732,-112.9138,Idaho,1994-000002,56047,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-998,46.61,14.78,14.02,8.76,2.38,10.03,0.54,43.5732,-112.9138,Idaho,1994-000002,56048,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
ICP121-391,46.31,16.1,12.18,9.06,2.45,11.61,0.35,43.5786,-112.9357,Idaho,1997-037544,56232,"Reed, M F; Bartholomay, R C; Hughes, S S",,,,,,,,,
WO2-20,47.62,15.18,14.35,6.37,2.88,9.21,0.93,43.5732,-112.9138,Idaho,1994-000002,56035,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-77,47.51,16.46,14.46,5.45,2.96,9.26,0.7,43.5732,-112.9138,Idaho,1994-000002,56036,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-90,46.88,14.28,14.77,8.07,2.49,9.69,0.62,43.5732,-112.9138,Idaho,1994-000002,56037,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1010,47.29,14.39,14.89,7.62,2.54,9.3,0.78,43.5732,-112.9138,Idaho,1994-000002,56049,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
MB-610,59.46,16.83,6.13,2.83,4.53,5.85,2.85,48.825,-121.734,washington,2003-046396,75297,"Hildreth, Wes; Fierstein, Judy; Lanphere, Marvin",,,,,,,,,
WO2-188,46.15,14.6,14.58,7.87,2.65,9.94,0.82,43.5732,-112.9138,Idaho,1994-000002,56038,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-349,47.22,15.51,12.84,8.29,2.44,10.97,0.42,43.5732,-112.9138,Idaho,1994-000002,56039,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1136,48.25,17.76,12.94,5.37,2.92,9.46,0.9,43.5732,-112.9138,Idaho,1994-000002,56053,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-431,46.99,16.42,11.1,10.44,2.18,11.37,0.19,43.5732,-112.9138,Idaho,1994-000002,56040,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-626,46.64,14.69,14.13,8.93,2.36,10.17,0.44,43.5732,-112.9138,Idaho,1994-000002,56041,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-705,47.37,15,13.38,8.7,2.33,10.01,0.65,43.5732,-112.9138,Idaho,1994-000002,56043,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-786,46.42,15.18,14.35,8.16,2.51,9.87,0.65,43.5732,-112.9138,Idaho,1994-000002,56044,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1164,47.36,14.28,14.99,6.98,2.61,9.46,0.84,43.5732,-112.9138,Idaho,1994-000002,56054,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-927,45.88,15.1,14.25,8.66,2.53,9.93,0.62,43.5732,-112.9138,Idaho,1994-000002,56046,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1054,47.22,14.99,14.79,7.23,2.17,9.35,0.8,43.5732,-112.9138,Idaho,1994-000002,56050,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1074,47.3,14.29,14.89,7.13,2.53,9.53,0.78,43.5732,-112.9138,Idaho,1994-000002,56051,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
ICP121-525,45.91,14.88,14.67,7.1,2.52,10.72,0.69,43.5786,-112.9357,Idaho,1997-037544,56238,"Reed, M F; Bartholomay, R C; Hughes, S S",,,,,,,,,
WO2-1122,48.88,15.6,12.84,6.67,2.91,9.11,1.02,43.5732,-112.9138,Idaho,1994-000002,56052,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1221,46.79,14.78,15.11,7.02,2.4,9.93,0.64,43.5732,-112.9138,Idaho,1994-000002,56055,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1239,46.36,14.17,15.64,7.3,2.54,9.54,0.74,43.5732,-112.9138,Idaho,1994-000002,56056,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1263,47.39,15.99,12.95,8.19,2.64,9.73,0.65,43.5732,-112.9138,Idaho,1994-000002,56057,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1304,47.42,14.79,14.02,7.78,2.42,10,0.63,43.5732,-112.9138,Idaho,1994-000002,56060,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1316,47.21,14.98,13.69,8.94,2.3,10.04,0.52,43.5732,-112.9138,Idaho,1994-000002,56061,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1378,46.35,14.3,14.69,9.36,2.32,9.72,0.56,43.5732,-112.9138,Idaho,1994-000002,56062,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-1480,46.24,16.03,15.85,6.13,2.76,9.25,0.46,43.5732,-112.9138,Idaho,1994-000002,56063,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
ICP121-620,47.56,14.8,13.49,8.22,2.41,10.17,0.5,43.5786,-112.9357,Idaho,1997-037544,56241,"Reed, M F; Bartholomay, R C; Hughes, S S",,,,,,,,,
WO2-20,47.62,15.18,14.35,6.37,2.88,9.21,0.93,43.5732,-112.9138,Idaho,1994-900072,56093,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-77,47.51,16.46,14.46,5.45,2.96,9.26,0.7,43.5732,-112.9138,Idaho,1994-900072,56094,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-90,46.88,14.28,14.77,8.07,2.49,9.69,0.62,43.5732,-112.9138,Idaho,1994-900072,56095,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-188,46.15,14.6,14.58,7.87,2.65,9.94,0.82,43.5732,-112.9138,Idaho,1994-900072,56096,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-431,46.99,16.42,11.1,10.44,2.18,11.37,0.19,43.5732,-112.9138,Idaho,1994-900072,56098,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-626,46.64,14.69,14.13,8.93,2.36,10.17,0.44,43.5732,-112.9138,Idaho,1994-900072,56099,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-655,46.69,14.97,13.79,8.65,2.36,10.42,0.44,43.5732,-112.9138,Idaho,1994-900072,56100,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-705,47.37,15,13.38,8.7,2.33,10.01,0.65,43.5732,-112.9138,Idaho,1994-900072,56101,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-786,46.42,15.18,14.35,8.16,2.51,9.87,0.65,43.5732,-112.9138,Idaho,1994-900072,56102,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-860,47.58,15.27,13.9,7.32,2.73,9.42,0.85,43.5732,-112.9138,Idaho,1994-900072,56103,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-927,45.88,15.1,14.25,8.66,2.53,9.93,0.62,43.5732,-112.9138,Idaho,1994-900072,56104,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-944,46.92,14.26,15.74,6.41,2.52,9.43,0.66,43.5732,-112.9138,Idaho,1994-900072,56105,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
