Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5,LOI,Stratigraphic Unit,Stratigraphic Age,Reference,interpreted_age,Age Reference,Notes,,In CMIBS,Age in SGP?
1004-22,40.38,17.45,28.42,0.59,0.07,0.12,4.29,1.03,0.02,0.11,,Manhang Fm,Carboniferous,Lee 2002,328.9,Lee 2002,,,Y,N
1004-13,49.8,22.26,15.38,1.98,0.03,0.03,3.51,0.72,0.04,0.03,,Geumcheon Fm,Carboniferous,Lee 2002,328.9,Lee 2002,,,Y,N
502-4,70.44,17.97,1.53,0.35,0.02,0.03,2.86,0.92,0,0.05,,Geumcheon Fm,Carboniferous,Lee 2002,328.9,Lee 2002,,,Y,N
502-2-5,31.47,14.27,47.32,0.18,0.05,0.15,1.86,1.32,0.01,0.11,,Manhang Fm,Carboniferous,Lee 2002,328.9,Lee 2002,,,Y,N
1004-7,62.36,25.41,3.46,0.51,0.02,0.06,1.01,1.21,0.01,0.04,,Manhang Fm,Carboniferous,Lee 2002,328.9,Lee 2002,,,Y,N
502-2-3,40.13,27.23,15.11,0.22,0.1,0.36,0.62,2.46,0,0.31,,Manhang Fm,Carboniferous,Lee 2002,328.9,Lee 2002,,,Y,N
1005-9,59.66,23.77,3.42,0.55,0.4,0.09,5.88,0.55,0.02,0.05,,Gohan Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-16,51.35,27.62,6.73,0.5,0.06,0.06,5.68,1.36,0.01,0.06,,Dosagog Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
502-3-3,64.25,21.26,1.94,0.72,0.05,0.03,5.16,0.73,0.01,0.02,,Jangseong Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-38,62.79,22.74,2.24,0.52,0.03,0.02,4.71,0.95,0.01,0.04,,Hambaegsan Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-18,58.79,21.16,7.51,0.56,0.02,0.06,4.6,1.34,0.02,0.13,,Dosagog Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
502-3-2,59.75,20.7,5.24,1.79,0.05,0.04,4.56,0.85,0.02,0.07,,Jangseong Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-8,57.37,23.58,5.72,0.58,0.98,0.19,4.37,0.48,0.04,0.03,,Gohan Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-11,57.09,21.2,7.93,0.82,0.42,0.39,4.27,0.89,0.12,0.24,,Gohan Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-19,65,18.66,4.12,0.58,0.05,0.07,4.14,1.47,0.02,0.09,,Dosagog Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-36,65.04,18.32,4.66,1.46,0.03,0.03,4.13,0.79,0.02,0.03,,Jangseong Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-10,57.63,21.4,5.84,1.04,0.6,1.01,4.06,0.88,0.05,0.69,,Gohan Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-22,49.18,36.51,0.44,0.1,0.16,0.11,4.02,1.06,0,0.09,,Dosagog Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-34,68.24,17.99,0.86,0.5,0.05,0.01,4,1.75,0.01,0.03,,Jangseong Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-30_,59.01,17.15,4.86,1.48,0.01,0.14,3.69,0.74,0.05,0.15,,Jangseong Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
502-5-1,61.49,18.58,7.16,1.7,0.36,0.43,3.44,0.62,0.11,0.21,,Gohan Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
J102-1,62.04,18.84,8.1,0.57,0.44,0.04,3.44,0.61,0.04,0.07,,Jangseong Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
502-5-2,60.66,17.38,9.37,2.01,0.09,0.3,3.17,0.78,0.16,0.16,,Gohan Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
J106,45.39,35.41,5.2,0.13,0.04,0.01,2.98,1.12,0,0.1,,Hambaegsan Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-39,44.42,29.07,14,0.66,0.03,0.2,2.65,1.08,0.06,0.23,,Hambaegsan Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-20,60.99,20.01,5.51,0.8,0.08,0.05,2.57,0.83,0.03,0.07,,Dosagog Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
1005-7,53.65,31.9,3.5,0.06,0.38,0.09,2.15,0.42,0,0.02,,Gohan Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
J112,59.99,20.37,8.55,0.5,0.32,0.02,1.87,0.96,0.03,0.04,,Gohan Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
J138,44.4,41.73,0.54,0.12,0.01,0.01,0.99,1.44,0,0.14,,Dosagog Fm,Permian,Lee 2002,275.401,Lee 2002,,,Y,N
502-6-3,60.15,18.66,7.04,0.74,1.03,0.08,6.52,0.75,0.03,0.04,,Donggo Fm,Triassic,Lee 2002,249.551,Lee 2002,,,Y,N
1005-6,63.04,17.61,5.89,0.68,0.31,0.86,6.35,0.59,0.03,0.02,,Donggo Fm,Triassic,Lee 2002,249.551,Lee 2002,,,Y,N
502-6-2,63.01,16.06,4.88,1.89,0.62,1.5,6.14,0.61,0.05,0.14,,Donggo Fm,Triassic,Lee 2002,249.551,Lee 2002,,,Y,N
502-6-1,63.45,15.62,5.58,1.58,0.92,1.4,5.65,0.62,0.05,0.08,,Donggo Fm,Triassic,Lee 2002,249.551,Lee 2002,,,Y,N
502-6-4,65.97,15.86,5.19,0.54,1.51,0.48,5.55,0.49,0.03,0.02,,Donggo Fm,Triassic,Lee 2002,249.551,Lee 2002,,,Y,N
1005-3_,64.53,15.25,4.94,1.47,1.03,1.58,5.51,0.58,0.05,0.1,,Donggo Fm,Triassic,Lee 2002,249.551,Lee 2002,,,Y,N
1005-4_,65.16,14.43,3.91,1.47,1.11,2.03,5.19,0.46,0.05,0.09,,Donggo Fm,Triassic,Lee 2002,249.551,Lee 2002,,,Y,N
0331-1,59.04,17.7,6.73,1.49,1.25,1.51,4.91,0.68,0.04,0.13,7.48,Donghwachi Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
115-21,60.77,17.03,6.66,1.09,1.07,2.51,4.88,0.69,0.03,0.09,5.86,Donghwachi Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
114-5,60.35,17.49,6.18,1.32,1.03,2.26,4.63,0.74,0.02,0.14,5.8,Gasongdong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
115-3,62.85,18.08,5.41,1.08,1.07,1.49,4.63,0.6,0.03,0.13,4.74,Donghwachi Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
114-17,63.43,17.22,5.74,1.02,0.96,1.51,4.52,0.7,0.01,0.13,5.05,Dogyedong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0401-24,67.75,15.96,5.2,0.72,1.7,0.44,4.5,0.63,0.01,0.13,3.21,Donghwachi Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
115-19,66.84,16.26,5.03,0.31,1.14,0.24,4.25,0.68,0,0.11,3.06,Donghwachi,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
116-17,61.55,16.99,5.68,1.68,0.3,2.17,4.2,0.64,0.34,0.26,6.37,Gisadong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
115-35,64.05,17.75,6.19,1.32,0.94,0.36,4.2,0.77,0.09,0.12,4.7,Gasongdong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
1005-3,63.66,17.98,2.82,1.04,1.03,0.44,4.1,0.69,0.12,0.11,6.85,Gisadong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
116-36,66.31,16.06,6.05,1.17,1.83,0.39,4.09,0.7,0.03,0.18,3.49,Gasongdong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0331-15,63.17,15.71,5.23,1.26,1.79,3.14,4.07,0.58,0.03,0.1,5.62,Donghwachi Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0331-12,62.8,14.62,5.69,1.41,1.05,3.89,3.95,0.65,0.06,0.11,6.14,Donghwachi Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0401-26,56.62,14.35,4.74,0.75,1.34,8.51,3.94,0.56,0.03,0.11,9.53,Donghwachi Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
116-13,71.53,15.72,3.12,0.65,0.94,0.39,3.92,0.65,0.01,0.12,3.3,Gisadong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0330-21,63.94,15.17,5.29,0.85,1.36,3.2,3.91,0.61,0.02,0.11,5.22,Dogyedong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
116-19,52.03,13.42,5.71,2.86,0.78,9.24,3.79,0.58,0.15,0.1,11.91,Dogyedong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
116-30,67.37,15.65,5.55,1.18,2.76,0.36,3.58,0.64,0.07,0.1,3.21,Gasongdong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
115-9,70.12,15.54,4.52,0.41,1.67,0.45,3.33,0.72,0,0.15,3.24,Donghwachi,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
1005-5,64.44,17.77,3.75,0.91,0.12,0.45,3.32,0.65,0.04,0.18,6.91,Gisadong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0401-16,67.35,14.33,4.69,0.29,0.82,3.56,3.28,0.63,0.04,0.21,5.19,Donghwachi Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
116-21,68.67,13.64,4.6,1.61,1.92,1.93,3.23,0.56,0.03,0.1,4.06,Gasongdong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
115-15,61.07,14.64,6.25,2.23,0.69,3.28,3.22,0.76,0.07,0.18,7.95,Gasongdong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0401-2,71.66,15.1,4.33,0.45,1.92,0.09,3.19,0.52,0,0.05,2.74,Donghwachi,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
1005-4,65.14,15.99,3.86,1.2,1.12,1.28,3.17,0.62,0.02,0.12,6.23,Gisadong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0330-9,70.5,13,3.26,0.9,1.54,1.85,3.13,0.48,0.01,0.08,4.61,Dogyedong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
114-2,66.27,14.43,4.34,1.27,2.5,2.72,3.12,0.62,0.03,0.14,4.69,Dogyedong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0401-6,73.31,13.91,3.85,0.45,2.26,0.36,3.08,0.52,0.01,0.1,2.52,Donghwachi Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0401-8,67.42,16.4,7.1,0.42,1.31,0.25,3.02,0.86,0.08,0.08,3.23,Donghwachi Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0401-20,49.12,10.7,5.07,0.79,0.66,15.54,2.91,0.4,0.18,0.1,14.71,Donghwachi Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
1005-2,67.14,12.94,5.09,1.18,0.61,0.84,2.9,0.37,0.26,0.09,7.55,Gisadong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
1005-1,66.44,13.84,4.33,1.49,0.24,7.12,2.7,0.47,0.11,0.2,1.06,Gisadong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
115-20,69.54,12.48,3.53,0.47,2.35,4.03,2.65,0.45,0.04,0.07,5.21,Donghwachi Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0330-11,71.29,12.91,4.15,0.61,0.98,2.57,2.41,0.46,0.07,0.08,4.29,Dogyedong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
0330-7,58.42,10.06,4.12,3.36,1.03,8.59,2.08,0.41,0.15,0.07,12.04,Dogyedong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
114-9,71.39,9.94,3.53,0.41,2.46,4.69,1.8,0.44,0.04,0.1,5.89,Dogyedong Fm,Cretaceous,Lee 2009,83.25,Lee 2009,,,N,N
Teu 01,62.9,17.8,5.79,2.36,2.24,0.45,4.59,0.79,0.04,0.14,3.18,Lausitz Gp,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Wees 01,64.2,16.8,6.12,2.39,2.47,1.42,3.49,0.74,0.07,0.16,1.91,Weesenstein Gp,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
SCH 2/66/54,66.4,16.1,4.89,1.89,2.3,0.3,3.35,0.68,0.02,0.17,2.76,Leipzig Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Li 074,71.1,13.6,5.06,1.73,3.49,0.93,3.21,0.57,0.06,0.2,0.92,Schlangenbg/Wellerswalde,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Katz 08,65.9,16.3,5.57,2.11,2.98,0.25,3.17,0.74,0.03,0.17,2.83,Frohnberg Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
But 01,69,14.2,4.63,1.71,3.27,1.52,2.98,0.62,0.06,0.15,1.43,Lausitz Gp,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Katz 01,70.3,14.4,4.17,1.56,3.78,0.23,2.92,0.61,0.04,0.14,1.86,Frohnberg Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Leip 04,72.2,13.7,4.24,1.37,3.39,0.87,2.91,0.61,0.04,0.14,1.48,Leipzig Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
1697/26,65.9,15,4.14,1.66,2.21,2.03,2.88,0.69,0.06,0.21,4.84,Rothstein Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Wett 01,71.4,13.2,4.41,1.57,3.04,1.06,2.85,0.6,0.05,0.13,1.76,Lausitz Gp,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Oel 14,56.5,18.5,8.34,3.68,3.68,0.41,2.84,0.94,0.1,0.21,4.7,Altenfeld Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Leip 02,70.4,13.1,4.69,1.57,3.07,1.03,2.79,0.67,0.05,0.16,1.07,Leipzig Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Gr 02,70.7,13.4,4.02,1.47,2.76,0.89,2.78,0.55,0.04,0.12,1.84,Lausitz Gp,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Oel 03,66.4,16.4,4.02,2.07,4.05,0.39,2.64,0.66,0.03,0.17,2.85,Schnetter Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
PA 4/66/9,72.6,12.8,4.45,1.54,2.36,0.28,2.55,0.55,0.03,0.15,2.61,Leipzig Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Vog 01,72.2,13.4,4.63,1.6,3.23,1.05,2.32,0.57,0.05,0.13,1.27,Lausitz Gp,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Li 075,72.9,11.9,3.94,1.49,3.68,1.05,2.23,0.5,0.04,0.27,1.11,Schlangenbg/Wellerswalde,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Sch 02,63.2,16.4,5.41,2.43,4.51,0.36,2.19,0.87,0.05,0.2,3.96,Schnetter Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Sch 01,70.7,13.2,4.61,1.84,2.97,0.26,2.13,0.62,0.03,0.16,3.19,Schnetter Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
1641H/16,67,14.1,4.28,1.53,4.12,1.33,2.08,0.5,0.06,0.12,3.82,Leipzig Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Oel 01,69.5,14.5,4.08,1.93,3.83,0.53,2.03,0.63,0.04,0.15,2.75,Schnetter Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Gr 03,72.6,12.8,3.79,1.28,3.02,1.38,1.89,0.5,0.06,0.16,1.53,Lausitz Gp,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Rdern 01,73.2,12,3.66,1.2,3.5,0.96,1.89,0.51,0.03,0.13,0.79,Rodern Fm,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Wees 02,71.5,13.5,4.27,1.71,4.29,0.99,1.42,0.61,0.05,0.12,1.4,Weesenstein Gp,Neoproterozoic,Linnemann & Romer 2002,570,Linnemann & Romer 2002,,,N,N
Gold 03,61.1,22.1,3.68,1.25,0.4,0.05,6.42,0.87,0.01,0.07,3.71,Goldisthal Fm,Ordovician,Linnemann & Romer 2002,443,Linnemann & Romer 2002,,,N,N
Sh10,53.59,22.09,6.047631,0.56,0.08,0.18,1.8,0.77,,0.08,,Taiyuan Fm,Lower Permian,Liu et al 2001,285.6,Liu et al 2001,,,N,N
Sh12,41.06,29.79,1.00079,0.22,0.09,0.11,0.3,0.92,,0.05,,Taiyuan Fm,Lower Permian,Liu et al 2001,285.6,Liu et al 2001,,,N,N
Sh13,43.86,34.65,0.228752,0.14,0.04,0.04,0.14,0.45,,0.01,,Taiyuan Fm,Lower Permian,Liu et al 2001,285.6,Liu et al 2001,,,N,N
XP35-1,64.71,19.01,6.5,0.81,0.45,0.27,1.28,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP2,51.2,16.5,8.3,1.2,0.6,0.7,1.1,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP4,54.6,16.8,5.8,1,0.5,0.4,1.1,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP38-2,60.73,16.12,10.81,0.92,0.4,0.42,1.04,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP36-1-1,58.88,17.09,10.44,0.87,0.45,0.73,1.03,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP35-4,56.5,21.09,17,1.32,0.4,0.64,1.03,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP42-3,53.6,16.22,7.84,0.82,0.28,0.49,1.03,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP36-1,54.06,16,16.3,1.05,0.43,0.67,1.01,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP3,49.9,13.6,4.3,1,0.8,0.7,1,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP5,48.8,21.8,8.7,1.4,0.4,0.7,1,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP1,45.7,17.6,6.3,1,0.8,0.5,1,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP38-7,57.21,16.12,11.84,0.88,0.31,0.46,0.93,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP58-1,53.3,15.79,15.67,1.09,0.62,0.62,0.91,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
XP40-1,63.03,13.68,11.79,0.91,0.38,0.5,0.91,,,,,Jijuntun Fm,Eocene,Liu et al 2015,44.95,Liu et al 2015,,,N,N
YW28,64.1,16.5,5.56,2.93,1.54,0.5,4.7,0.69,0.07,0.1,3.38,Huangcaopo Group (HG),Ordovician,Long et al 2012,457.6,Long et al 2012,,,N,N
YW27,63.4,16.7,5.86,3.23,2.1,0.22,4.29,0.73,0.07,0.11,3.09,Huangcaopo Group (HG),Ordovician,Long et al 2012,457.6,Long et al 2012,,,N,N
YW42,61.1,18.5,4.57,1.31,5.73,1.27,3.86,0.87,0.1,0.26,2.19,Huangcaopo Group (HG),Ordovician,Long et al 2012,457.6,Long et al 2012,,,N,N
YW29,62.7,16.3,6.52,3.36,2.08,1.44,2.87,0.78,0.11,0.22,3.4,Huangcaopo Group (HG),Ordovician,Long et al 2012,457.6,Long et al 2012,,,N,N
YW30,63.7,16.1,6.35,3.31,2.07,1.26,2.8,0.78,0.1,0.21,3.13,Huangcaopo Group (HG),Ordovician,Long et al 2012,457.6,Long et al 2012,,,N,N
YW41,68,16.2,4.05,1.08,4.02,0.4,2.64,0.79,0.05,0.14,2.42,Huangcaopo Group (HG),Ordovician,Long et al 2012,457.6,Long et al 2012,,,N,N
YW35,67.7,14.8,5.03,2.2,3.22,2.34,2.19,0.58,0.09,0.17,1.45,Huangcaopo Group (HG),Ordovician,Long et al 2012,457.6,Long et al 2012,,,N,N
YW36,67.2,14.9,5.11,2.48,3.28,2.54,2.05,0.62,0.09,0.18,1.42,Huangcaopo Group (HG),Ordovician,Long et al 2012,457.6,Long et al 2012,,,N,N
YW37,66.7,14.9,5.2,2.63,3.32,2.72,1.87,0.66,0.1,0.2,1.32,Huangcaopo Group (HG),Ordovician,Long et al 2012,457.6,Long et al 2012,,,N,N
YW33,88.3,5.3,0.98,0.05,1.92,0.74,1.03,0.18,0.04,0.05,0.98,Huangcaopo Group (HG),Ordovician,Long et al 2012,457.6,Long et al 2012,,,N,N
YW38,49.6,17.8,11.17,5.07,3.73,6.94,0.61,1.29,0.18,0.18,3.33,Huangcaopo Group (HG),Ordovician,Long et al 2012,457.6,Long et al 2012,,,N,N
KP06,62.5,17.5,4.31,1.21,6.04,2.02,2.96,0.81,0.09,0.27,2,Kubushu Gp,Silurian,Long et al 2012,426.3,Long et al 2012,,,N,N
KP02,73.5,12.1,3.27,1.01,3.78,1.67,1.95,0.48,0.12,0.11,1.79,Kubushu Gp,Silurian,Long et al 2012,426.3,Long et al 2012,,,N,N
KP07,71.1,14.3,2.53,0.77,5.59,1.53,1.87,0.6,0.08,0.19,1.08,Kubushu Gp,Silurian,Long et al 2012,426.3,Long et al 2012,,,N,N
KP34,66.4,14.6,5.47,1.79,4.5,1.99,1.84,0.81,0.12,0.21,1.99,Kubushu Gp,Silurian,Long et al 2012,426.3,Long et al 2012,,,N,N
KP05,64.7,17.4,5.41,1.63,5.97,0.55,1.48,0.75,0.09,0.15,1.58,Kubushu Gp,Silurian,Long et al 2012,426.3,Long et al 2012,,,N,N
KP33,49.8,15.7,8.08,8.41,3.44,6.36,1.45,1.17,0.12,0.28,5.2,Kubushu Gp,Silurian,Long et al 2012,426.3,Long et al 2012,,,N,N
KP03,72,13.1,3.57,1.07,5.47,1.38,0.98,0.51,0.1,0.1,1.42,Kubushu Gp,Silurian,Long et al 2012,426.3,Long et al 2012,,,N,N
KP35,67.2,14.6,4.73,1.57,5.7,2.33,0.71,0.67,0.11,0.18,2.01,Kubushu Gp,Silurian,Long et al 2012,426.3,Long et al 2012,,,N,N
KP08,73.1,13.6,2.74,1,6.37,0.9,0.42,0.3,0.06,0.09,1.12,Kubushu Gp,Silurian,Long et al 2012,426.3,Long et al 2012,,,N,N
BH31,58,18,8.53,5.01,2.02,1.19,2.94,0.91,0.12,0.18,3.09,Habahe Group,Silurian,Long et al 2012,425,Long et al 2012,,,N,N
BH20,61.9,16.8,6.97,4.11,2.33,0.4,2.86,0.88,0.06,0.2,3.33,Habahe Group,Silurian,Long et al 2012,425,Long et al 2012,,,N,N
BH19,62,16.8,7.13,4.34,1.94,0.32,2.77,0.85,0.06,0.16,3.59,Habahe Group,Silurian,Long et al 2012,425,Long et al 2012,,,N,N
BH18,64.5,15.5,6.47,3.97,1.89,0.34,2.71,0.76,0.06,0.16,3.25,Habahe Group,Silurian,Long et al 2012,425,Long et al 2012,,,N,N
BH28,68.2,14,5.49,3.72,1.19,0.83,2.39,0.68,0.09,0.16,3.28,Habahe Group,Silurian,Long et al 2012,425,Long et al 2012,,,N,N
BH32,69.8,13.2,5.94,3.19,2.3,1.41,2.1,0.68,0.08,0.16,1.33,Habahe Group,Silurian,Long et al 2012,425,Long et al 2012,,,N,N
BH33,69.1,13.5,6.05,3.35,2.21,1.36,2.07,0.72,0.08,0.18,1.79,Habahe Group,Silurian,Long et al 2012,425,Long et al 2012,,,N,N
BH03,70.1,13.2,5.29,3.15,1.76,1.27,1.61,0.67,0.09,0.15,2.5,Habahe Group,Silurian,Long et al 2012,425,Long et al 2012,,,N,N
BH29,69.3,13.2,5.13,2.82,2.66,1.68,1.49,0.69,0.11,0.17,2.8,Habahe Group,Silurian,Long et al 2012,425,Long et al 2012,,,N,N
BH30,71.3,13,4.53,2.72,2.53,1.66,1.34,0.59,0.12,0.14,2.04,Habahe Group,Silurian,Long et al 2012,425,Long et al 2012,,,N,N
BH02,67.3,12.6,5.91,3.26,3.06,2.53,1.01,0.66,0.11,0.18,3.35,Habahe Group,Silurian,Long et al 2012,425,Long et al 2012,,,N,N
BH09,87.4,5.19,2.43,2.05,0.1,0.19,0.85,0.3,0.01,0.14,1.58,Baihaba Fm.,Devonian,Long et al 2012,411,Long et al 2012,,,N,N
BH10,90.6,4.49,1.26,0.99,0.09,0.17,0.74,0.25,0.01,0.12,1.13,Baihaba Fm.,Devonian,Long et al 2012,411,Long et al 2012,,,N,N
DM12,52.48,21.02,9.97,2.99,1.87,0.12,4.54,1.06,0.02,0.14,4.96,Himmelberg Sstone,Ordovician,Mader & Neubauer 2004,464.6,Mader & Neubauer 2004,,,N,N
DM45,63.7,14.79,8.24,2.21,1.71,0.32,2.76,2.1,0.14,0.2,3.55,Zollner Fm,Devonian,Mader & Neubauer 2004,389.05,Mader & Neubauer 2004,,,N,N
DM9,64.67,15.28,6.83,2.58,2.3,1.07,2.54,0.93,0.09,0.15,3.11,Hochwipfel Gp,Early Carboniferous,Mader & Neubauer 2004,341.05,Mader & Neubauer 2004,,,N,N
DM14,72.11,14.15,3.92,1.28,3.11,0.19,2.1,0.73,0.02,0.1,2.22,Hochwipfel Gp,Early Carboniferous,Mader & Neubauer 2004,341.05,Mader & Neubauer 2004,,,N,N
DM13,76.27,10.74,4.15,1.31,2.16,0.34,1.55,0.56,0.05,0.14,2.04,Hochwipfel Gp,Early Carboniferous,Mader & Neubauer 2004,341.05,Mader & Neubauer 2004,,,N,N
DM21e,60.92,20.85,4.92,1.33,0.46,0.02,3.77,1.02,0.04,0.08,5.94,Auernig Gp,Late carbonifeours,Mader & Neubauer 2004,311.05,Mader & Neubauer 2004,,,N,N
DM10,66.44,12.84,6.65,1.48,0.39,2.18,2.35,0.93,0.19,0.23,6.14,Waidegg Fm,Late carbonifeours,Mader & Neubauer 2004,311.05,Mader & Neubauer 2004,,,N,N
DM2,72.03,14.62,3.45,0.86,1.82,0.14,3.37,0.56,0,0.04,2.27,Groden Fm,Permian,Mader & Neubauer 2004,275.4,Mader & Neubauer 2004,,,N,N
