Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5,LOI,Stratigraphic Unit,Stratigraphic Age,Reference,interpreted_age,Age Reference,Notes,,In CMIBS,Age in SGP?
6158,54.24,22.67,6.41,4.62,0.63,0.21,3.46,0.92,0.03,0.14,5.86,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
C75,59.33,17.51,11.04,3.99,0.22,0.14,3.09,0.78,0.05,0.12,3.82,Roodepoort,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
6159,55.13,21.37,7.13,4.97,0.53,0.13,3.01,0.85,0.03,0.09,6.1,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MEE24,58.79,19.95,7.07,5.12,0.72,0.5,2.87,0.55,0.07,0.1,4.41,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
v5658,53.98,19,6.81,9.08,0.5,0.56,2.83,0.71,0.08,0.07,6.58,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
SJ35,53.65,19.38,7.63,8.41,1.41,1.02,2.73,0.64,0.04,0.11,4.93,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
AA0096,56.83,21.75,7.03,4.8,1.48,0.19,2.48,1.01,0.07,0.06,5.24,Roodepoort,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MEE13,61,20.93,6.99,3.42,0.33,0.15,2.4,0.76,0.05,0.8,3.92,K8,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
AA0099,58.88,20.51,6.68,4.69,1.29,0.24,2.35,0.94,0.06,0.08,4.81,Roodepoort,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
AA0098,58.82,19.97,7.02,5,1.12,0.22,2.33,0.9,0.06,0.04,4.82,Roodepoort,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
